"Names","Genre","Rating","Vote"
"Мстители: Война бесконечности","фантастика, боевик",7.9,519827
"Зеленая книга","комедия, драма",8.3,427620
"Дэдпул 2","фантастика, боевик",7.4,333451
"Богемская рапсодия","биография, музыка",8,325807
"Первому игроку приготовиться","фантастика, боевик",7.4,324871
"Человек-паук: Через вселенные","мультфильм, фантастика",8,257746
"Апгрейд","фантастика, боевик",7.6,211472
"Суперсемейка 2","мультфильм, фантастика",7.3,168491
"Ральф против интернета","мультфильм, комедия",7.1,150733
"Миссия невыполнима: Последствия","боевик, триллер",7.2,122277
"Звезда родилась","мелодрама, музыка",7.3,120093
"Ничего хорошего в отеле «Эль Рояль»","триллер, драма",7.1,115951
"Капернаум","драма",8.2,112511
"Дом, который построил Джек","ужасы, триллер",7,110768
"Ночные игры","боевик, триллер",7,100286
"Отель Мумбаи: Противостояние","боевик, триллер",7.7,96715
"Поиск","детектив, триллер",7.4,93356
"Семья по-быстрому","драма, комедия",7.4,84144
"Остров собак","мультфильм, фантастика",8.1,83502
"Завод","криминал, драма",7.2,81658
