"Place","Ru_name","En_name","Rating","Vote"
"1","Зеленая книга (2018)","Green Book",8.231,420514
"2","Мстители: Война бесконечности (2018)","Avengers: Infinity War",7.956,514086
"3","Капернаум (2018)","Capharnaum",7.941,110371
"4","Богемская рапсодия (2018)","Bohemian Rhapsody",7.926,319986
"5","Остров собак (2018)","Isle of Dogs",7.908,82326
"6","Человек-паук: Через вселенные (2018)","Spider-Man: Into the Spider-Verse",7.905,253649
"7","Они никогда не станут старше (2018)","They Shall Not Grow Old",7.753,4969
"8","Фри-соло (2018)","Free Solo",7.739,4279
"9","Отель Мумбаи: Противостояние (2018)","Hotel Mumbai",7.572,95079
"10","Работа без авторства (2018)","Werk ohne Autor",7.562,46442
"11","Укрась прощальное утро цветами обещания (2018)","Sayonara no asa ni yakusoku no hana o kazaro",7.462,33896
"12","Апгрейд (2018)","Upgrade",7.432,205247
"13","Первому игроку приготовиться (2018)","Ready Player One",7.416,313852
"14","Дэдпул 2 (2018)","Deadpool 2",7.388,330005
"15","Поиск (2018)","Searching",7.351,91221
"16","Лето (2018)",NA,7.344,62650
"17","Суперсемейка 2 (2018)","Incredibles 2",7.329,165580
"18","Сорняки (2018)","Mauvaises herbes",7.297,4745
"19","Магазинные воришки (2018)","Manbiki kazoku",7.293,22742
"20","Фаворитка (2018)","The Favourite",7.287,78787
